GENESIS-Tabelle: 12411-0021
Bevölkerung: Bundesländer, Stichtag zum Quartalsende,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Geschlecht;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fortschreibung des Bevölkerungsstandes;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bevölkerungsstand (Anzahl);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Baden-Württemberg;Baden-Württemberg;Baden-Württemberg;Bayern;Bayern;Bayern;Berlin;Berlin;Berlin;Brandenburg;Brandenburg;Brandenburg;Bremen;Bremen;Bremen;Hamburg;Hamburg;Hamburg;Hessen;Hessen;Hessen;Mecklenburg-Vorpommern;Mecklenburg-Vorpommern;Mecklenburg-Vorpommern;Niedersachsen;Niedersachsen;Niedersachsen;Nordrhein-Westfalen;Nordrhein-Westfalen;Nordrhein-Westfalen;Rheinland-Pfalz;Rheinland-Pfalz;Rheinland-Pfalz;Saarland;Saarland;Saarland;Sachsen;Sachsen;Sachsen;Sachsen-Anhalt;Sachsen-Anhalt;Sachsen-Anhalt;Schleswig-Holstein;Schleswig-Holstein;Schleswig-Holstein;Thüringen;Thüringen;Thüringen
;männlich;weiblich;Insgesamt;männlich;weiblich;Insgesamt;männlich;weiblich;Insgesamt;männlich;weiblich;Insgesamt;männlich;weiblich;Insgesamt;männlich;weiblich;Insgesamt;männlich;weiblich;Insgesamt;männlich;weiblich;Insgesamt;männlich;weiblich;Insgesamt;männlich;weiblich;Insgesamt;männlich;weiblich;Insgesamt;männlich;weiblich;Insgesamt;männlich;weiblich;Insgesamt;männlich;weiblich;Insgesamt;männlich;weiblich;Insgesamt;männlich;weiblich;Insgesamt
31.03.1991;4799516;5050041;9849557;5571757;5904659;11476416;1631752;1803190;3434942;1244088;1328042;2572130;326341;355166;681507;787515;869271;1656786;2810643;2964470;5775113;931463;985046;1916509;3594920;3804336;7399256;8382075;8991725;17373800;1830766;1941905;3772671;518530;555215;1073745;2235677;2507528;4743205;1365097;1497489;2862586;1276176;1352604;2628780;1243034;1359322;2602356
30.06.1991;4822599;5065278;9887877;5599749;5921282;11521031;1634201;1803719;3437920;1239943;1323282;2563225;327516;355561;683077;789968;870756;1660724;2820994;2970293;5791287;927725;980855;1908580;3608887;3814826;7423713;8407470;9007419;17414889;1837954;1947108;3785062;519127;555430;1074557;2227041;2496324;4723365;1359691;1490255;2849946;1279581;1354501;2634082;1238255;1353418;2591673
30.09.1991;4854542;5090343;9944885;5632186;5943583;11575769;1637024;1804153;3441177;1235938;1316886;2552824;327310;355374;682684;791822;872258;1664080;2834714;2979816;5814530;923503;975012;1898515;3624737;3828283;7453020;8439806;9032373;17472179;1849391;1955019;3804410;519702;555713;1075415;2216542;2481686;4698228;1354302;1481381;2835683;1284799;1358579;2643378;1233869;1346257;2580126
31.12.1991;4881575;5120265;10001840;5639069;5956901;11595970;1640247;1805784;3446031;1231740;1310983;2542723;328227;355457;683684;795130;873627;1668757;2847270;2990060;5837330;920731;970926;1891657;3636515;3839275;7475790;8461410;9048456;17509866;1858846;1962389;3821235;520427;556452;1076879;2209397;2469480;4678877;1349595;1473729;2823324;1287605;1360927;2648532;1231319;1340750;2572069
31.03.1992;4897644;5127006;10024650;5654855;5965640;11620495;1642495;1804589;3447084;1229577;1306592;2536169;327972;355061;683033;797857;874568;1672425;2857220;2995721;5852941;919536;967516;1887052;3647638;3846213;7493851;8481466;9058948;17540414;1868918;1968047;3836965;520846;556538;1077384;2204020;2459617;4663637;1348171;1468428;2816599;1290023;1362560;2652583;1230617;1336587;2567204
30.06.1992;4926784;5148438;10075222;5685600;5985307;11670907;1647847;1806328;3454175;1226057;1301209;2527266;329045;355347;684392;799830;875357;1675187;2871589;3004890;5876479;918435;964905;1883340;3663343;3857855;7521198;8508117;9077259;17585376;1877568;1974591;3852159;521839;556933;1078772;2206123;2457422;4663545;1346246;1463760;2810006;1295212;1365372;2660584;1223949;1327157;2551106
30.09.1992;4952501;5168610;10121111;5720578;6010516;11731094;1652770;1807516;3460286;1236237;1306996;2543233;329865;355893;685758;803559;877492;1681051;2887959;3016355;5904314;913514;957291;1870805;3680977;3873832;7554809;8540326;9100255;17640581;1886924;1981838;3868762;523928;557903;1081831;2204681;2448433;4653114;1343134;1457246;2800380;1302223;1370009;2672232;1224559;1324383;2548942
31.12.1992;4966597;5182111;10148708;5741559;6028698;11770257;1656471;1809277;3465748;1238370;1304281;2542651;329987;355858;685845;809568;879217;1688785;2898330;3024309;5922639;911111;953869;1864980;3692928;3884592;7577520;8561996;9117170;17679166;1892925;1988040;3880965;525197;558810;1084007;2201259;2439738;4640997;1343254;1453727;2796981;1306114;1373461;2679575;1224415;1321393;2545808
31.03.1993;4977482;5190982;10168464;5754847;6038458;11793305;1659493;1808678;3468171;1243665;1304256;2547921;329723;355245;684968;814586;881301;1695887;2907925;3029303;5937228;906808;948113;1854921;3701028;3892399;7593427;8577233;9123722;17700955;1900041;1992100;3892141;525437;558686;1084123;2198732;2432858;4631590;1341928;1450554;2792482;1308115;1375218;2683333;1222757;1317571;2540328
30.06.1993;4997150;5203704;10200854;5768333;6049216;11817549;1661984;1809492;3471476;1243614;1303574;2547188;329495;354875;684370;817886;883742;1701628;2916548;3034036;5950584;905947;946140;1852087;3712037;3902757;7614794;8590766;9131672;17722438;1906779;1996917;3903696;525959;558568;1084527;2197106;2427010;4624116;1341689;1447701;2789390;1309306;1375946;2685252;1222476;1314883;2537359
30.09.1993;5005976;5216492;10222468;5782203;6064663;11846866;1662600;1808996;3471596;1243690;1302404;2546094;328478;354081;682559;818337;885194;1703531;2923601;3040720;5964321;905239;944313;1849552;3720817;3913380;7634197;8601278;9143523;17744801;1913846;2002881;3916727;525926;558894;1084820;2194841;2419709;4614550;1339780;1443913;2783693;1312290;1378793;2691083;1221605;1312224;2533829
31.12.1993;5007943;5226083;10234026;5787348;6075965;11863313;1664981;1810411;3475392;1239897;1297764;2537661;328906;354190;683096;818252;884635;1702887;2923343;3043962;5967305;902409;941046;1843455;3726813;3921191;7648004;8607487;9151813;17759300;1917730;2008133;3925863;525588;558934;1084522;2193793;2413867;4607660;1337670;1440265;2777935;1313927;1380948;2694875;1222397;1310402;2532799
31.03.1994;5008277;5229456;10237733;5789352;6080532;11869884;1668445;1810311;3478756;1239040;1295957;2534997;328537;353637;682174;818660;884882;1703542;2922496;3044642;5967138;901300;938568;1839868;3731535;3926459;7657994;8611918;9155152;17767070;1920562;2010636;3931198;525196;558576;1083772;2193230;2407942;4601172;1335794;1436670;2772464;1315237;1382069;2697306;1221518;1307406;2528924
30.06.1994;5012916;5234599;10247515;5799929;6088996;11888925;1669478;1808438;3477916;1239191;1294050;2533241;328618;353530;682148;818647;885155;1703802;2923056;3046386;5969442;900366;936630;1836996;3744160;3936266;7680426;8619462;9159740;17779202;1923949;2013606;3937555;524923;558276;1083199;2193193;2402654;4595847;1335253;1434059;2769312;1316258;1382909;2699167;1220193;1304644;2524837
30.09.1994;5018968;5242129;10261097;5812038;6098345;11910383;1670587;1805989;3476576;1241864;1293909;2535773;328326;353396;681722;819650;885459;1705109;2926302;3050142;5976444;899120;934243;1833363;3752659;3944971;7697630;8630788;9167945;17798733;1928474;2017708;3946182;525044;558373;1083417;2193682;2396871;4590553;1333713;1430310;2764023;1319103;1385741;2704844;1218175;1301723;2519898
31.12.1994;5022585;5249484;10272069;5815965;6105979;11921944;1668648;1803361;3472009;1242804;1293943;2536747;327332;352697;680029;820442;885430;1705872;2927269;3053424;5980693;899436;932862;1832298;3761843;3953520;7715363;8639741;9176338;17816079;1930324;2021249;3951573;525432;558769;1084201;2192299;2392046;4584345;1332127;1427086;2759213;1320784;1387608;2708392;1217934;1299842;2517776
31.03.1995;5025604;5250405;10276009;5819576;6110286;11929862;1669623;1800670;3470293;1243813;1293538;2537351;327407;352552;679959;821466;885623;1707089;2929554;3055103;5984657;898757;931105;1829862;3767606;3958602;7726208;8645000;9177939;17822939;1932792;2022816;3955608;524964;558344;1083308;2192734;2386430;4579164;1330861;1423767;2754628;1323607;1389008;2712615;1216497;1297053;2513550
30.06.1995;5036423;5259055;10295478;5831827;6119778;11951605;1670984;1799261;3470245;1243909;1292477;2536386;327494;352355;679849;821820;884984;1706804;2934400;3058761;5993161;898715;929921;1828636;3778601;3966068;7744669;8655323;9183981;17839304;1935929;2025641;3961570;524792;558151;1082943;2193856;2381489;4575345;1329769;1420594;2750363;1325583;1390017;2715600;1215972;1294554;2510526
30.09.1995;5045181;5268222;10313403;5844792;6131610;11976402;1673366;1798169;3471535;1247044;1293401;2540445;327364;352296;679660;822581;885454;1708035;2939848;3064065;6003913;898173;928315;1826488;3788362;3976699;7765061;8672322;9197969;17870291;1940836;2030381;3971217;525523;558572;1084095;2195068;2376828;4571896;1328897;1417461;2746358;1329217;1393953;2723170;1215386;1292052;2507438
31.12.1995;5046847;5272520;10319367;5852034;6141450;11993484;1674278;1797140;3471418;1248325;1293717;2542042;327323;352434;679757;822623;885278;1707901;2942083;3067830;6009913;896536;926548;1823084;3796589;3983833;7780422;8684211;9208834;17893045;1943901;2034018;3977919;525575;558795;1084370;2194597;2372006;4566603;1325431;1413497;2738928;1330257;1395204;2725461;1214213;1289572;2503785
31.03.1996;5051295;5274382;10325677;5853311;6142591;11995902;1674260;1794001;3468261;1249594;1293495;2543089;327136;351959;679095;823424;884722;1708146;2942948;3067607;6010555;896458;925058;1821516;3799729;3985083;7784812;8687467;9207753;17895220;1945387;2034353;3979740;525028;558253;1083281;2193190;2365866;4559056;1324077;1410455;2734532;1331109;1395654;2726763;1212848;1286438;2499286
30.06.1996;5062223;5281786;10344009;5864520;6150154;12014674;1675373;1791949;3467322;1251632;1293879;2545511;327102;351629;678731;824055;884473;1708528;2946059;3070192;6016251;896139;924448;1820587;3806224;3988925;7795149;8695901;9212572;17908473;1947345;2035937;3983282;525071;558048;1083119;2194525;2362685;4557210;1323026;1408437;2731463;1333446;1397149;2730595;1212310;1284375;2496685
30.09.1996;5073601;5291350;10364951;5873412;6160331;12033743;1675417;1788867;3464284;1255270;1296046;2551316;327056;351627;678683;825068;885126;1710194;2949529;3074631;6024160;896175;923052;1819227;3811441;3995025;7806466;8707120;9224066;17931186;1952179;2039338;3991517;525125;558112;1083237;2194148;2358181;4552329;1322689;1405901;2728590;1336800;1400834;2737634;1211248;1282042;2493290
31.12.1996;5076720;5297785;10374505;5876744;6167125;12043869;1673055;1785708;3458763;1257213;1297228;2554441;326641;351129;677770;823901;884085;1707986;2949768;3077516;6027284;895280;921916;1817196;3815578;3999570;7815148;8715221;9232494;17947715;1957188;2043379;4000567;525592;558592;1084184;2191334;2354368;4545702;1320552;1403068;2723620;1339326;1402967;2742293;1210722;1280397;2491119
31.03.1997;5079772;5298659;10378431;5876294;6168223;12044517;1671681;1781918;3453599;1260139;1298835;2558974;326363;350924;677287;824528;884018;1708546;2950911;3078024;6028935;895310;921125;1816435;3818181;4001444;7819625;8718239;9233908;17952147;1960237;2044107;4004344;525318;557949;1083267;2191091;2350088;4541179;1319337;1400248;2719585;1341203;1404317;2745520;1209483;1277981;2487464
30.06.1997;5087598;5305014;10392612;5882536;6174117;12056653;1669481;1777107;3446588;1261645;1300083;2561728;325847;350317;676164;823473;883289;1706762;2952408;3078855;6031263;895211;920575;1815786;3825535;4006718;7832253;8724300;9237859;17962159;1963881;2045872;4009753;525128;557582;1082710;2191213;2346431;4537644;1317399;1397295;2714694;1343496;1406075;2749571;1208764;1276095;2484859
30.09.1997;5089025;5305623;10394648;5886716;6179133;12065849;1664591;1771234;3435825;1264760;1303329;2568089;325578;349687;675265;823936;883041;1706977;2953931;3080332;6034263;892389;918264;1810653;3829608;4011450;7841058;8730360;9243560;17973920;1967931;2048552;4016483;524756;557208;1081964;2188777;2342283;4531060;1315448;1393970;2709418;1346421;1408816;2755237;1207477;1273769;2481246
31.12.1997;5088633;5307977;10396610;5884415;6181960;12066375;1659470;1766289;3425759;1267196;1306095;2573291;324939;348944;673883;823180;881551;1704731;2951639;3080066;6031705;891097;916702;1807799;3831467;4013931;7845398;8729381;9245106;17974487;1968096;2049732;4017828;524034;556756;1080790;2184168;2338244;4522412;1311200;1390490;2701690;1346729;1409744;2756473;1206667;1271481;2478148
31.03.1998;5089788;5307561;10397349;5879790;6178367;12058157;1657444;1762002;3419446;1269634;1307895;2577529;324401;348152;672553;822065;880660;1702725;2951110;3078752;6029862;890038;915331;1805369;3832476;4013044;7845520;8728397;9241308;17969705;1967972;2049236;4017208;522997;555690;1078687;2180184;2333739;4513923;1308435;1387340;2695775;1347821;1410360;2758181;1205010;1268815;2473825
30.06.1998;5096370;5312009;10408379;5885528;6181103;12066631;1657284;1759963;3417247;1271639;1309327;2580966;323469;347206;670675;821263;879545;1700808;2952825;3079316;6032141;889147;914273;1803420;3836519;4015388;7851907;8729719;9238587;17968306;1968669;2049559;4018228;522127;554913;1077040;2178009;2329263;4507272;1306103;1384076;2690179;1349275;1411247;2760522;1203892;1266580;2470472
30.09.1998;5101539;5314521;10416060;5891923;6184336;12076259;1652498;1754754;3407252;1274529;1311740;2586269;322935;346572;669507;821322;879283;1700605;2954367;3080049;6034416;888379;912463;1800842;3840459;4019046;7859505;8730905;9238962;17969867;1971119;2051012;4022131;520951;553970;1074921;2174334;2323706;4498040;1303558;1380021;2683579;1351141;1413501;2764642;1202484;1263534;2466018
31.12.1998;5105533;5320507;10426040;5896254;6190294;12086548;1648518;1750304;3398822;1276518;1313857;2590375;322028;345937;667965;821539;878550;1700089;2954558;3080579;6035137;887528;911161;1798689;3843617;4022223;7865840;8733813;9241703;17975516;1972267;2052702;4024969;520441;553782;1074223;2170172;2319243;4489415;1298508;1375982;2674490;1351519;1414538;2766057;1201329;1261507;2462836
31.03.1999;5108187;5319776;10427963;5900711;6192120;12092831;1647219;1746900;3394119;1276799;1313945;2590744;321407;345351;666758;822569;878959;1701528;2955653;3079938;6035591;886826;909648;1796474;3844674;4021163;7865837;8733614;9237515;17971129;1972463;2051887;4024350;519820;552977;1072797;2166851;2314198;4481049;1296145;1372412;2668557;1352015;1414395;2766410;1199891;1258538;2458429
30.06.1999;5120362;5330634;10450996;5914579;6202422;12117001;1647616;1745327;3392943;1277592;1314874;2592466;321259;344852;666111;822860;878925;1701785;2960101;3082806;6042907;886123;908733;1794856;3852061;4026181;7878242;8741697;9241445;17983142;1974889;2053341;4028230;519702;552764;1072466;2165590;2310751;4476341;1294207;1369419;2663626;1353943;1416089;2770032;1199110;1256845;2455955
30.09.1999;5128522;5337848;10466370;5927295;6213422;12140717;1647945;1744402;3392347;1279561;1316631;2596192;320368;344247;664615;823799;879963;1703762;2963555;3085262;6048817;884955;906623;1791578;3857072;4032340;7889412;8748098;9246387;17994485;1977203;2055186;4032389;519587;552426;1072013;2162440;2305046;4467486;1290904;1365435;2656339;1356071;1418279;2774350;1197883;1254132;2452015
31.12.1999;5132365;5343567;10475932;5932928;6222039;12154967;1644575;1742092;3386667;1282309;1318898;2601207;319430;343635;663065;824686;880049;1704735;2964739;3087227;6051966;883615;905707;1789322;3861634;4037126;7898760;8749790;9250010;17999800;1975261;2055512;4030773;519259;552242;1071501;2158726;2300960;4459686;1287102;1361635;2648737;1357398;1419877;2777275;1196959;1252123;2449082
31.03.2000;5135990;5344181;10480171;5939351;6224883;12164234;1643918;1740668;3384586;1282002;1318143;2600145;318959;343045;662004;826458;881172;1707630;2964981;3086837;6051818;882138;903943;1786081;3861833;4036411;7898244;8748313;9245573;17993886;1974094;2053975;4028069;518839;551318;1070157;2155273;2296203;4451476;1283751;1357640;2641391;1358002;1420222;2778224;1195317;1249250;2444567
30.06.2000;5144469;5353190;10497659;5950345;6233032;12183377;1643670;1739664;3383334;1282556;1318284;2600840;318818;342772;661590;826930;881438;1708368;2968708;3088190;6056898;881496;902630;1784126;3869752;4042214;7911966;8750366;9245787;17996153;1974350;2054122;4028472;518577;550908;1069485;2151869;2292058;4443927;1280455;1353969;2634424;1359393;1421595;2780988;1193863;1247352;2441215
30.09.2000;5153395;5360328;10513723;5964188;6245644;12209832;1643860;1739322;3383182;1282534;1317686;2600220;318384;342280;660664;829749;883350;1713099;2972500;3091933;6064433;879616;900093;1779709;3874793;4048413;7923206;8755046;9250564;18005610;1976101;2056033;4032134;518334;550595;1068929;2147299;2285556;4432855;1275785;1348519;2624304;1362136;1424519;2786655;1191680;1243893;2435573
31.12.2000;5157408;5367007;10524415;5974283;6255972;12230255;1643534;1738635;3382169;1283432;1318530;2601962;318267;341958;660225;831225;884167;1715392;2973492;3094637;6068129;877698;898005;1775703;3875996;4050197;7926193;8756656;9253209;18009865;1976814;2057743;4034557;518228;550475;1068703;2144676;2280905;4425581;1271259;1344116;2615375;1363617;1426144;2789761;1189951;1241304;2431255
31.03.2001;5164083;5371387;10535470;5986243;6263054;12249297;1644404;1738164;3382568;1281846;1316715;2598561;318477;342000;660477;832409;885248;1717657;2974545;3094775;6069320;875885;895828;1771713;3877913;4050847;7928760;8759456;9253083;18012539;1978997;2058404;4037401;517723;549940;1067663;2139992;2275067;4415059;1267477;1339631;2607108;1364481;1426682;2791163;1187889;1237876;2425765
30.06.2001;5177497;5383056;10560553;6003171;6274942;12278113;1645551;1738653;3384204;1281467;1315880;2597347;318730;341839;660569;833436;885803;1719239;2975798;3096375;6072173;874677;894348;1769025;3884750;4054481;7939231;8766656;9256897;18023553;1981317;2059624;4040941;517539;549490;1067029;2135706;2270227;4405933;1264428;1335423;2599851;1366390;1428480;2794870;1186354;1235517;2421871
30.09.2001;5192038;5394837;10586875;6020494;6289820;12310314;1647345;1739887;3387232;1280320;1313264;2593584;318626;341599;660225;836519;888344;1724863;2977217;3098391;6075608;871921;891263;1763184;3889888;4059811;7949699;8776558;9264798;18041356;1983852;2061692;4045544;517621;549129;1066750;2130172;2262501;4392673;1259839;1328987;2588826;1369196;1431774;2800970;1183698;1231582;2415280
31.12.2001;5198056;5402850;10600906;6029762;6299952;12329714;1648169;1740265;3388434;1280492;1312548;2593040;318387;341264;659651;837726;888637;1726363;2977832;3099994;6077826;870229;889648;1759877;3893308;4063108;7956416;8782352;9269740;18052092;1985677;2063389;4049066;517432;549038;1066470;2126723;2257469;4384192;1255728;1324898;2580626;1370626;1433623;2804249;1182177;1229210;2411387
31.03.2002;5204572;5406636;10611208;6035383;6303362;12338745;1648325;1740262;3388587;1278600;1310076;2588676;319016;341726;660742;837901;889051;1726952;2978707;3100412;6079119;868522;887294;1755816;3895497;4064286;7959783;8784679;9269216;18053895;1985895;2062585;4048480;517092;548508;1065600;2122661;2252084;4374745;1252386;1320705;2573091;1372051;1434841;2806892;1180433;1226229;2406662
30.06.2002;5215505;5415363;10630868;6045404;6310314;12355718;1649032;1740418;3389450;1277747;1309124;2586871;319149;341573;660722;837340;888656;1725996;2980987;3102640;6083627;867212;885799;1753011;3901975;4068037;7970012;8789977;9270234;18060211;1987098;2062723;4049821;517041;548041;1065082;2119324;2247038;4366362;1248758;1316416;2565174;1373468;1436067;2809535;1178534;1223735;2402269
30.09.2002;5227264;5425016;10652280;6056265;6320311;12376576;1650952;1740926;3391878;1276436;1307021;2583457;319700;341916;661616;838489;889930;1728419;2984784;3105705;6090489;865170;882636;1747806;3905677;4072933;7978610;8797211;9276144;18073355;1989655;2064642;4054297;517125;547978;1065103;2115057;2240840;4355897;1245148;1311003;2556151;1375330;1438376;2813706;1176339;1220316;2396655
31.12.2002;5230234;5431086;10661320;6060688;6326663;12387351;1651471;1740954;3392425;1276145;1306234;2582379;319940;342158;662098;839006;889800;1728806;2984565;3107053;6091618;863859;880765;1744624;3906956;4073516;7980472;8798673;9277682;18076355;1991331;2066396;4057727;517101;547887;1064988;2112497;2236562;4349059;1241832;1307079;2548911;1376370;1440137;2816507;1174211;1217829;2392040
31.03.2003;5232843;5431437;10664280;6062807;6326317;12389124;1651600;1740335;3391935;1273892;1303410;2577302;320198;342166;662364;840392;890956;1731348;2982358;3106381;6088739;861849;878283;1740132;3907405;4072179;7979584;8796290;9273077;18069367;1990577;2064162;4054739;516608;547159;1063767;2109051;2230908;4339959;1238954;1302956;2541910;1376703;1439616;2816319;1171710;1214456;2386166
30.06.2003;5241490;5438664;10680154;6067893;6329484;12397377;1651952;1739383;3391335;1273045;1302526;2575571;320443;342288;662731;840695;891132;1731827;2982473;3106506;6088979;861051;877104;1738155;3913111;4075709;7988820;8799872;9273424;18073296;1991277;2065129;4056406;516113;546643;1062756;2107041;2227198;4334239;1236083;1299750;2535833;1377195;1440258;2817453;1170380;1212646;2383026
30.09.2003;5248210;5443475;10691685;6071017;6332993;12404010;1652426;1738845;3391271;1272495;1301351;2573846;320546;342271;662817;842557;892485;1735042;2984066;3108496;6092562;859515;875236;1734751;3915628;4078629;7994257;8803433;9275796;18079229;1992056;2065913;4057969;516088;546143;1062231;2104934;2222540;4327474;1232805;1294859;2527664;1379005;1442287;2821292;1168198;1209652;2377850
31.12.2003;5247284;5445272;10692556;6079009;6344377;12423386;1651203;1737274;3388477;1272998;1301523;2574521;320815;342314;663129;842587;891496;1734083;2981511;3107917;6089428;858249;873977;1732226;3915213;4078202;7993415;8803118;9276568;18079686;1992136;2066546;4058682;515641;545735;1061376;2102768;2218669;4321437;1230521;1292420;2522941;1379707;1443464;2823171;1166263;1206894;2373157
31.03.2004;5249041;5445174;10694215;6077794;6341790;12419584;1650961;1735968;3386929;1271417;1299482;2570899;320634;342228;662862;844735;893158;1737893;2980958;3106970;6087928;856727;872167;1728894;3914219;4076590;7990809;8798166;9270180;18068346;1988660;2068371;4057031;515189;544939;1060128;2099370;2214752;4314122;1227740;1288767;2516507;1380192;1443915;2824107;1164264;1204182;2368446
30.06.2004;5255960;5450845;10706805;6082201;6344897;12427098;1651559;1735383;3386942;1270126;1298381;2568507;320604;341847;662451;844258;892692;1736950;2980978;3107203;6088181;855042;870962;1726004;3920356;4081315;8001671;8799420;9269904;18069324;1989720;2068266;4057986;514536;544290;1058826;2095402;2211277;4306679;1224998;1285594;2510592;1381027;1444470;2825497;1162847;1202109;2364956
30.09.2004;5261759;5454357;10716116;6088473;6350958;12439431;1652316;1735014;3387330;1269994;1297226;2567220;320828;341807;662635;843394;891659;1735053;2982452;3108502;6090954;853272;868718;1721990;3920373;4082543;8002916;8803246;9271927;18075173;1991609;2069090;4060699;513975;543527;1057502;2093592;2207675;4301267;1221405;1281395;2502800;1382302;1446226;2828528;1160629;1199161;2359790
31.12.2004;5260183;5457236;10717419;6088805;6355088;12443893;1653057;1734771;3387828;1270347;1297357;2567704;321206;342007;663213;843580;891250;1734830;2986543;3111222;6097765;852143;867510;1719653;3919375;4081534;8000909;8803255;9272097;18075352;1991975;2069130;4061105;513460;542957;1056417;2091821;2204463;4296284;1216890;1277547;2494437;1382531;1446229;2828760;1158456;1196824;2355280
31.03.2005;5261966;5456361;10718327;6089169;6353958;12443127;1654446;1734632;3389078;1268788;1295273;2564061;321039;342099;663138;844690;892062;1736752;2983289;3108253;6091542;850256;865386;1715642;3918218;4078107;7996325;8797861;9263899;18061760;1990075;2067178;4057253;512687;541893;1054580;2088766;2200030;4288796;1213926;1273739;2487665;1382493;1445404;2827897;1156158;1193694;2349852
